Prap	DpleGene	MsexGene
PIERAPT00000030322	DPOGS201882	Msex2.06901
PIERAPT00000006431	DPOGS201882	Msex2.06901
PIERAPT00000002418	DPOGS213076	Msex2.13819,Msex2.13634
PIERAPT00000021267	DPOGS213076	Msex2.13819,Msex2.13634
PIERAPT00000017020	DPOGS211801	Msex2.13376,Msex2.13429,Msex2.13375
PIERAPT00000019547	DPOGS210477	Msex2.08503,Msex2.08504
PIERAPT00000019617	DPOGS210477	Msex2.08503,Msex2.08504
PIERAPT00000018830	DPOGS215283	Msex2.03970,Msex2.03967,Msex2.03968
PIERAPT00000002838	DPOGS204532,DPOGS207520	Msex2.09391
PIERAPT00000029073	DPOGS204532,DPOGS207520	Msex2.09391
PIERAPT00000009085	DPOGS206232	Msex2.03869,Msex2.03870
PIERAPT00000009419	DPOGS206232	Msex2.03869,Msex2.03870
PIERAPT00000022097	DPOGS209145,DPOGS209146	Msex2.00399
PIERAPT00000000478	DPOGS209145,DPOGS209146	Msex2.00399
PIERAPT00000004782	DPOGS201792,DPOGS201808	Msex2.11048,Msex2.13217
PIERAPT00000035142	DPOGS203907,DPOGS200469	Msex2.01912,Msex2.01374
PIERAPT00000016496	DPOGS206560	Msex2.10122,Msex2.14451,Msex2.14453
PIERAPT00000003079	DPOGS202676,DPOGS202644	Msex2.10411,Msex2.09582
PIERAPT00000032269	DPOGS206621	Msex2.05197,Msex2.05195
PIERAPT00000034532	DPOGS206621	Msex2.05197,Msex2.05195
PIERAPT00000034823	DPOGS209796	Msex2.00555,Msex2.11112,Msex2.00562
PIERAPT00000032809	DPOGS212730,DPOGS204790	Msex2.04366
PIERAPT00000033025	DPOGS212730,DPOGS204790	Msex2.04366
PIERAPT00000017684	DPOGS206753,DPOGS206754	Msex2.03809,Msex2.03800
PIERAPT00000008044	DPOGS206483	Msex2.01847
PIERAPT00000030641	DPOGS206483	Msex2.01847
PIERAPT00000032547	DPOGS206483	Msex2.01847
PIERAPT00000001231	DPOGS213495,DPOGS213465,DPOGS213494	Msex2.14626
PIERAPT00000019555	DPOGS203466	Msex2.10172,Msex2.10170
PIERAPT00000013181	DPOGS203466	Msex2.10172,Msex2.10170
PIERAPT00000001522	DPOGS209089	Msex2.03851,Msex2.03850
PIERAPT00000020881	DPOGS209089	Msex2.03851,Msex2.03850
PIERAPT00000010932	DPOGS209320	Msex2.08539,Msex2.08537,Msex2.08538
PIERAPT00000023773	DPOGS200707,DPOGS211912	Msex2.11877,Msex2.13160
PIERAPT00000020084	DPOGS208630,DPOGS204159	Msex2.11736
PIERAPT00000023893	DPOGS208630,DPOGS204159	Msex2.11736
PIERAPT00000001043	DPOGS204422	Msex2.06854
PIERAPT00000000628	DPOGS204422	Msex2.06854
PIERAPT00000018923	DPOGS204422	Msex2.06854
PIERAPT00000024013	DPOGS205387,DPOGS205388	Msex2.05339
PIERAPT00000027392	DPOGS205387,DPOGS205388	Msex2.05339
PIERAPT00000013091	DPOGS203213	Msex2.06729
PIERAPT00000029888	DPOGS203213	Msex2.06729
PIERAPT00000031211	DPOGS200730	Msex2.10610,Msex2.10611
PIERAPT00000002215	DPOGS207272	Msex2.01030
PIERAPT00000015887	DPOGS207272	Msex2.01030
PIERAPT00000024988	DPOGS210250	Msex2.07583,Msex2.07584
PIERAPT00000028576	DPOGS214345	Msex2.10063
PIERAPT00000030227	DPOGS214345	Msex2.10063
PIERAPT00000005557	DPOGS200167	Msex2.01010
PIERAPT00000011247	DPOGS200167	Msex2.01010
PIERAPT00000004399	DPOGS200593	Msex2.04052
PIERAPT00000018226	DPOGS200593	Msex2.04052
PIERAPT00000016426	DPOGS200821	Msex2.06677
PIERAPT00000033531	DPOGS200821	Msex2.06677
PIERAPT00000020421	DPOGS201813	Msex2.07480,Msex2.12647
PIERAPT00000018478	DPOGS201992	Msex2.13503
PIERAPT00000027609	DPOGS201992	Msex2.13503
PIERAPT00000001947	DPOGS204572	Msex2.09078
PIERAPT00000030221	DPOGS204572	Msex2.09078
PIERAPT00000018763	DPOGS210833	Msex2.09689
PIERAPT00000031207	DPOGS210833	Msex2.09689
PIERAPT00000030835	DPOGS211975	Msex2.11817,Msex2.13442
PIERAPT00000012284	DPOGS201202	Msex2.04767
PIERAPT00000034032	DPOGS201202	Msex2.04767
PIERAPT00000016861	DPOGS201254	Msex2.02236
PIERAPT00000031929	DPOGS201254	Msex2.02236
PIERAPT00000020748	DPOGS201418	Msex2.10311
PIERAPT00000027968	DPOGS201418	Msex2.10311
PIERAPT00000022572	DPOGS203237	Msex2.07594
PIERAPT00000027854	DPOGS203237	Msex2.07594
PIERAPT00000000051	DPOGS205263	Msex2.00308
PIERAPT00000030766	DPOGS205263	Msex2.00308
PIERAPT00000016727	DPOGS205500	Msex2.09596
PIERAPT00000024761	DPOGS205500	Msex2.09596
PIERAPT00000003590	DPOGS205819	Msex2.11262
PIERAPT00000027507	DPOGS205819	Msex2.11262
PIERAPT00000002897	DPOGS206617	Msex2.05191
PIERAPT00000027571	DPOGS206617	Msex2.05191
PIERAPT00000018435	DPOGS208069	Msex2.11121
PIERAPT00000033206	DPOGS208069	Msex2.11121
PIERAPT00000026398	DPOGS213064	Msex2.08800,Msex2.11453
PIERAPT00000004373	DPOGS214586	Msex2.11005
PIERAPT00000031049	DPOGS214586	Msex2.11005
PIERAPT00000004176	DPOGS214958	Msex2.01507
PIERAPT00000018989	DPOGS214958	Msex2.01507
PIERAPT00000012100	DPOGS204024	Msex2.00852
PIERAPT00000019999	DPOGS204024	Msex2.00852
PIERAPT00000004789	DPOGS205047	Msex2.05006
PIERAPT00000011539	DPOGS205047	Msex2.05006
PIERAPT00000026454	DPOGS206719	Msex2.04487,Msex2.04488
PIERAPT00000013120	DPOGS208954	Msex2.09332
PIERAPT00000028076	DPOGS208954	Msex2.09332
PIERAPT00000001271	DPOGS209413	Msex2.08400
PIERAPT00000013040	DPOGS209413	Msex2.08400
PIERAPT00000021547	DPOGS209769	Msex2.09871
PIERAPT00000033130	DPOGS209769	Msex2.09871
PIERAPT00000013116	DPOGS209835	Msex2.10157,Msex2.10158
PIERAPT00000013500	DPOGS211106	Msex2.10363
PIERAPT00000031766	DPOGS211106	Msex2.10363
PIERAPT00000019796	DPOGS213653	Msex2.03653
PIERAPT00000033029	DPOGS213653	Msex2.03653
PIERAPT00000020781	DPOGS215494	Msex2.07715
PIERAPT00000034121	DPOGS215494	Msex2.07715
PIERAPT00000002523	DPOGS216003	Msex2.12631,Msex2.13726
PIERAPT00000008008	DPOGS201098	Msex2.06473
PIERAPT00000022811	DPOGS201098	Msex2.06473
PIERAPT00000005626	DPOGS203208	Msex2.06740
PIERAPT00000033315	DPOGS203208	Msex2.06740
PIERAPT00000026656	DPOGS204537,DPOGS204538	Msex2.13062
PIERAPT00000001391	DPOGS207254	Msex2.06149
PIERAPT00000012728	DPOGS207254	Msex2.06149
PIERAPT00000000987	DPOGS207302	Msex2.06148
PIERAPT00000030383	DPOGS207302	Msex2.06148
PIERAPT00000027102	DPOGS209483	Msex2.03458,Msex2.03459
PIERAPT00000028347	DPOGS210857,DPOGS210858	Msex2.04645
PIERAPT00000035424	DPOGS211910	Msex2.12868,Msex2.14302
PIERAPT00000001604	DPOGS213252,DPOGS213253	Msex2.07261
PIERAPT00000025358	DPOGS214863	Msex2.03211
PIERAPT00000028154	DPOGS214863	Msex2.03211
PIERAPT00000013075	DPOGS215973	Msex2.12882,Msex2.14325
PIERAPT00000005280	DPOGS216038	Msex2.01668
PIERAPT00000031013	DPOGS216038	Msex2.01668
PIERAPT00000003451	DPOGS200406	Msex2.02605
PIERAPT00000028710	DPOGS200406	Msex2.02605
PIERAPT00000022039	DPOGS201426	Msex2.13484,Msex2.13487
