# Species	Genes	Alg.-Conn.	Dp_geneset_OGS2_pep.fasta	MsexOGS2_LongestProt-2021.fas	PierisLongestCDS.fas
3	4	0.496	DPOGS209835-PA	Msex2.10157-RA,Msex2.10158-RA	PIERAPT00000013116
3	4	0.496	DPOGS211106-PA	Msex2.10363-RA	PIERAPT00000013500,PIERAPT00000031766
3	4	0.496	DPOGS213653-PA	Msex2.03653-RA	PIERAPT00000019796,PIERAPT00000033029
3	4	0.496	DPOGS215494-PA	Msex2.07715-RB	PIERAPT00000020781,PIERAPT00000034121
3	4	0.496	DPOGS216003-PA	Msex2.12631-RA,Msex2.13726-RB	PIERAPT00000002523
3	4	0.495	DPOGS201098-PA	Msex2.06473-RA	PIERAPT00000008008,PIERAPT00000022811
3	4	0.495	DPOGS203208-PA	Msex2.06740-RA	PIERAPT00000005626,PIERAPT00000033315
3	4	0.495	DPOGS204537-PA,DPOGS204538-PA	Msex2.13062-RA	PIERAPT00000026656
3	4	0.495	DPOGS207254-PA	Msex2.06149-RA	PIERAPT00000001391,PIERAPT00000012728
3	4	0.495	DPOGS207302-PA	Msex2.06148-RA	PIERAPT00000000987,PIERAPT00000030383
3	4	0.495	DPOGS209483-PA	Msex2.03458-RB,Msex2.03459-RA	PIERAPT00000027102
3	4	0.495	DPOGS210857-PA,DPOGS210858-PA	Msex2.04645-RA	PIERAPT00000028347
3	4	0.495	DPOGS211910-PA	Msex2.12868-RA,Msex2.14302-RB	PIERAPT00000035424
3	4	0.495	DPOGS213252-PA,DPOGS213253-PA	Msex2.07261-RB	PIERAPT00000001604
3	4	0.495	DPOGS214863-PA	Msex2.03211-RB	PIERAPT00000025358,PIERAPT00000028154
3	4	0.495	DPOGS215973-PA	Msex2.12882-RA,Msex2.14325-RA	PIERAPT00000013075
3	4	0.495	DPOGS216038-PA	Msex2.01668-RC	PIERAPT00000005280,PIERAPT00000031013
3	4	0.494	DPOGS200406-PA	Msex2.02605-RA	PIERAPT00000003451,PIERAPT00000028710
3	4	0.494	DPOGS201426-PA	Msex2.13484-RA,Msex2.13487-RA	PIERAPT00000022039
3	4	0.494	DPOGS202601-PA	Msex2.00543-RA	PIERAPT00000023953,PIERAPT00000025103
3	4	0.494	DPOGS203257-PA	Msex2.10269-RA	PIERAPT00000015154,PIERAPT00000030549
3	4	0.494	DPOGS205506-PA	Msex2.11025-RA	PIERAPT00000008024,PIERAPT00000011681
3	4	0.494	DPOGS208077-PA	Msex2.09799-RB	PIERAPT00000008336,PIERAPT00000033348
3	4	0.494	DPOGS208458-PA	Msex2.07851-RA	PIERAPT00000014562,PIERAPT00000033056
3	4	0.494	DPOGS208890-PA	Msex2.10529-RA	PIERAPT00000006539,PIERAPT00000029346
3	4	0.494	DPOGS209294-PA	Msex2.04003-RA	PIERAPT00000014502,PIERAPT00000030004
3	4	0.493	DPOGS200051-PA	Msex2.07359-RA	PIERAPT00000013017,PIERAPT00000019949
3	4	0.493	DPOGS201640-PA	Msex2.01775-RB	PIERAPT00000002176,PIERAPT00000003043
3	4	0.493	DPOGS202129-PA,DPOGS202130-PA	Msex2.06763-RA	PIERAPT00000006182
3	4	0.493	DPOGS206301-PA	Msex2.08666-RB	PIERAPT00000021374,PIERAPT00000026320
3	4	0.493	DPOGS206401-PA	Msex2.00948-RA	PIERAPT00000001597,PIERAPT00000008533
3	4	0.493	DPOGS206511-PA	Msex2.07952-RD	PIERAPT00000024220,PIERAPT00000025544
3	4	0.493	DPOGS206701-PA,DPOGS206702-PA	Msex2.01195-RA	PIERAPT00000005731
3	4	0.493	DPOGS212380-PA	Msex2.09152-RA	PIERAPT00000021434,PIERAPT00000021580
