"TranscriptID","GeneID","GeneName"
"PIERAPT00000000910","PIERAPG00000000378","STU1"
"PIERAPT00000000911","PIERAPG00000000379","ctsR"
"PIERAPT00000000912","PIERAPG00000000380","SDF2"
"PIERAPT00000000914","PIERAPG00000000381","Btk29A"
"PIERAPT00000000922","PIERAPG00000000382","EMC1"
"PIERAPT00000000927","PIERAPG00000000383","MFB2"
"PIERAPT00000000932","PIERAPG00000000384","sec5"
"PIERAPT00000000934","PIERAPG00000000385","G111685"
"PIERAPT00000000935","PIERAPG00000000386","tctex1d1-aTCTEX1D1"
"PIERAPT00000000937","PIERAPG00000000387","mnmE"
"PIERAPT00000000940","PIERAPG00000000388","CCDC174"
"PIERAPT00000000941","PIERAPG00000000389","Ifi204"
"PIERAPT00000000944","PIERAPG00000000390","proB"
"PIERAPT00000000948","PIERAPG00000000391","LUC7L2"
"PIERAPT00000000949","PIERAPG00000000392","ZCCHC10"
"PIERAPT00000000950","PIERAPG00000000393","dnajb6"
"PIERAPT00000000952","PIERAPG00000000394","GST1"
"PIERAPT00000000955","PIERAPG00000000395","Znf598"
"PIERAPT00000000956","PIERAPG00000000396","At3g58280"
"PIERAPT00000000957","PIERAPG00000000397","feoC"
"PIERAPT00000000958","PIERAPG00000000398","Arr1"
"PIERAPT00000000963","PIERAPG00000000399","Tre1"
"PIERAPT00000000964","PIERAPG00000000400","G110181"
"PIERAPT00000000965","PIERAPG00000000401","KCNV1"
"PIERAPT00000000967","PIERAPG00000000402","Cdh23"
"PIERAPT00000000970","PIERAPG00000000403","Osbp"
"PIERAPT00000000971","PIERAPG00000000404","cpq"
"PIERAPT00000000973","PIERAPG00000000405","thap11"
"PIERAPT00000000974","PIERAPG00000000406","PNPO"
"PIERAPT00000000976","PIERAPG00000000407","PEG3hemE"
"PIERAPT00000000977","PIERAPG00000000408","ADRB1"
"PIERAPT00000000978","PIERAPG00000000409","ZFHX2"
"PIERAPT00000000979","PIERAPG00000000410","G113348"
"PIERAPT00000000980","PIERAPG00000000411","RpL34"
"PIERAPT00000000981","PIERAPG00000000412","Agxt"
"PIERAPT00000000983","PIERAPG00000000413","atpE"
"PIERAPT00000000984","PIERAPG00000000414","ABCA5"
"PIERAPT00000000985","PIERAPG00000000415","MYRO1LCTL"
"PIERAPT00000000987","PIERAPG00000000416","SJCHGC01960"
"PIERAPT00000000988","PIERAPG00000000417","Kansl1l"
"PIERAPT00000000999","PIERAPG00000000418","DCST2Stab1"
"PIERAPT00000001000","PIERAPG00000000419","CI091"
"PIERAPT00000001001","PIERAPG00000000420","Gas2"
"PIERAPT00000001002","PIERAPG00000000421","CG3876"
"PIERAPT00000001003","PIERAPG00000000422","SORL1"
"PIERAPT00000001005","PIERAPG00000000423","KDM1A"
"PIERAPT00000001006","PIERAPG00000000424","MBD1"
"PIERAPT00000001010","PIERAPG00000000425","Dis3"
"PIERAPT00000001011","PIERAPG00000000426","AKR1B1"
"PIERAPT00000001012","PIERAPG00000000427","G114941"
"PIERAPT00000001013","PIERAPG00000000428","yl"
"PIERAPT00000001015","PIERAPG00000000429","Ccp84Ab"
"PIERAPT00000001016","PIERAPG00000000430","ubald2"
"PIERAPT00000001017","PIERAPG00000000431","G113950"
"PIERAPT00000001020","PIERAPG00000000432","G100934"
"PIERAPT00000001022","PIERAPG00000000433","ZNF800"
"PIERAPT00000001023","PIERAPG00000000434","rps2"
"PIERAPT00000001024","PIERAPG00000000435","SLC27A4"
"PIERAPT00000001025","PIERAPG00000000436","tbcb"
"PIERAPT00000001026","PIERAPG00000000437","RANBP2"
"PIERAPT00000001027","PIERAPG00000000438","spt4"
"PIERAPT00000001028","PIERAPG00000000439","fezf2"
"PIERAPT00000001029","PIERAPG00000000440","Corin"
"PIERAPT00000001030","PIERAPG00000000441","CHA6"
"PIERAPT00000001031","PIERAPG00000000442","pstS1"
"PIERAPT00000001032","PIERAPG00000000443","FASN"
"PIERAPT00000001033","PIERAPG00000000444","rgn"
"PIERAPT00000001037","PIERAPG00000000445","AKAP13ARHGEF2"
"PIERAPT00000001040","PIERAPG00000000446","Scpep1"
"PIERAPT00000001041","PIERAPG00000000447","Tgfbr1"
"PIERAPT00000001042","PIERAPG00000000448","lepA"
"PIERAPT00000001043","PIERAPG00000000449","HI"
"PIERAPT00000001049","PIERAPG00000000450","Sin3a"
"PIERAPT00000001057","PIERAPG00000000451","WDR43"
"PIERAPT00000001058","PIERAPG00000000452","VIRE"
"PIERAPT00000001062","PIERAPG00000000453","SVIL"
"PIERAPT00000001067","PIERAPG00000000454","G103093"
"PIERAPT00000001072","PIERAPG00000000455","PANK4"
"PIERAPT00000001073","PIERAPG00000000456","murI_2"
"PIERAPT00000001074","PIERAPG00000000457","ZNF425"
"PIERAPT00000001075","PIERAPG00000000458","pkiA"
"PIERAPT00000001076","PIERAPG00000000459","OBP1"
"PIERAPT00000001077","PIERAPG00000000460","TRAK1"
"PIERAPT00000001078","PIERAPG00000000461","Cpsf73"
"PIERAPT00000001086","PIERAPG00000000462","Ints1"
"PIERAPT00000001089","PIERAPG00000000463","MAGT1"
"PIERAPT00000001091","PIERAPG00000000464","Kiaa0556"
"PIERAPT00000001092","PIERAPG00000000465","G102773"
"PIERAPT00000001093","PIERAPG00000000466","CCL4"
"PIERAPT00000001095","PIERAPG00000000467","Kiaa0100"
