"TrxID","GeneName","GeneID"
"PIERAPT00000000351","PKDREJ","PIERAPG00000000130"
"PIERAPT00000000352","AGPAT1","PIERAPG00000000131"
"PIERAPT00000000353","HCFC1","PIERAPG00000000132"
"PIERAPT00000000354","HCFC1","PIERAPG00000000132"
"PIERAPT00000000355","CLPTM1","PIERAPG00000000133"
"PIERAPT00000000356","CLPTM1","PIERAPG00000000133"
"PIERAPT00000000357","TTN","PIERAPG00000000134"
"PIERAPT00000000358","Snx16C2","PIERAPG00000000135"
"PIERAPT00000000359","Snx16C2","PIERAPG00000000135"
"PIERAPT00000000360","Snx16C2","PIERAPG00000000135"
"PIERAPT00000000361","Tstd3","PIERAPG00000000136"
"PIERAPT00000000362","Tstd3","PIERAPG00000000136"
"PIERAPT00000000363","Tstd3","PIERAPG00000000136"
"PIERAPT00000000364","CXorf65","PIERAPG00000000137"
"PIERAPT00000000365","RBP1","PIERAPG00000000138"
"PIERAPT00000000366","Klhdc4","PIERAPG00000000139"
"PIERAPT00000000367","Klhdc4","PIERAPG00000000139"
"PIERAPT00000000368","Klhdc4","PIERAPG00000000139"
"PIERAPT00000000369","Klhdc4","PIERAPG00000000139"
"PIERAPT00000000370","Klhdc4","PIERAPG00000000139"
"PIERAPT00000000371","Klhdc4","PIERAPG00000000139"
"PIERAPT00000000372","Klhdc4","PIERAPG00000000139"
"PIERAPT00000000373","Klhdc4","PIERAPG00000000139"
"PIERAPT00000000374","Klhdc4","PIERAPG00000000139"
"PIERAPT00000000375","Klhdc4","PIERAPG00000000139"
"PIERAPT00000000376","Klhdc4","PIERAPG00000000139"
"PIERAPT00000000377","Wnt2b","PIERAPG00000000140"
"PIERAPT00000000378","ydgB","PIERAPG00000000141"
"PIERAPT00000000379","Ddx1","PIERAPG00000000142"
"PIERAPT00000000380","Tnks","PIERAPG00000000143"
"PIERAPT00000000381","ClgnCanx","PIERAPG00000000144"
"PIERAPT00000000382","ClgnCanx","PIERAPG00000000144"
"PIERAPT00000000383","ATP5L","PIERAPG00000000145"
"PIERAPT00000000384","Ald","PIERAPG00000000146"
"PIERAPT00000000385","Ald","PIERAPG00000000146"
"PIERAPT00000000386","Ald","PIERAPG00000000146"
"PIERAPT00000000387","Ald","PIERAPG00000000146"
"PIERAPT00000000388","Ald","PIERAPG00000000146"
"PIERAPT00000000389","Ald","PIERAPG00000000146"
"PIERAPT00000000390","NUDT8","PIERAPG00000000147"
"PIERAPT00000000391","NUDT8","PIERAPG00000000147"
"PIERAPT00000000392","NUDT8","PIERAPG00000000147"
"PIERAPT00000000393","NUDT8","PIERAPG00000000147"
"PIERAPT00000000394","Srp68","PIERAPG00000000148"
"PIERAPT00000000395","ptsI","PIERAPG00000000149"
"PIERAPT00000000396","pheT","PIERAPG00000000150"
"PIERAPT00000000397","G105113","PIERAPG00000000151"
"PIERAPT00000000398","ZNF682","PIERAPG00000000152"
"PIERAPT00000000399","G108143","PIERAPG00000000153"
"PIERAPT00000000400","mical3a","PIERAPG00000000154"
"PIERAPT00000000401","Tmcc2","PIERAPG00000000155"
"PIERAPT00000000402","Tmcc2","PIERAPG00000000155"
"PIERAPT00000000403","Tmcc2","PIERAPG00000000155"
"PIERAPT00000000404","Kr","PIERAPG00000000156"
"PIERAPT00000000405","Six2","PIERAPG00000000157"
"PIERAPT00000000406","Rrp7a","PIERAPG00000000158"
"PIERAPT00000000407","truA1","PIERAPG00000000159"
"PIERAPT00000000408","yuaG","PIERAPG00000000160"
"PIERAPT00000000409","chpLRFN1","PIERAPG00000000161"
"PIERAPT00000000410","chpLRFN1","PIERAPG00000000161"
"PIERAPT00000000411","chpLRFN1","PIERAPG00000000161"
"PIERAPT00000000412","chpLRFN1","PIERAPG00000000161"
"PIERAPT00000000413","SIDL","PIERAPG00000000162"
"PIERAPT00000000414","efp","PIERAPG00000000163"
"PIERAPT00000000415","yclI","PIERAPG00000000164"
"PIERAPT00000000416","TYB12Tmsb4x","PIERAPG00000000165"
"PIERAPT00000000417","TYB12Tmsb4x","PIERAPG00000000165"
"PIERAPT00000000418","TYB12Tmsb4x","PIERAPG00000000165"
"PIERAPT00000000419","TYB12Tmsb4x","PIERAPG00000000165"
"PIERAPT00000000420","TYB12Tmsb4x","PIERAPG00000000165"
"PIERAPT00000000421","TYB12Tmsb4x","PIERAPG00000000165"
"PIERAPT00000000422","TYB12Tmsb4x","PIERAPG00000000165"
"PIERAPT00000000423","Glod4","PIERAPG00000000166"
"PIERAPT00000000424","Pnpt1","PIERAPG00000000167"
"PIERAPT00000000425","Pnpt1","PIERAPG00000000167"
"PIERAPT00000000426","Pnpt1","PIERAPG00000000167"
"PIERAPT00000000427","Pnpt1","PIERAPG00000000167"
"PIERAPT00000000428","Slc2a8","PIERAPG00000000168"
"PIERAPT00000000429","MVK","PIERAPG00000000169"
"PIERAPT00000000430","Hrb27C","PIERAPG00000000170"
"PIERAPT00000000431","G108105","PIERAPG00000000171"
"PIERAPT00000000432","SelD","PIERAPG00000000172"
"PIERAPT00000000433","Paf-AHalpha","PIERAPG00000000173"
"PIERAPT00000000434","ELOVL4","PIERAPG00000000174"
"PIERAPT00000000435","MPCP","PIERAPG00000000175"
"PIERAPT00000000436","MPCP","PIERAPG00000000175"
"PIERAPT00000000437","l(2)04524","PIERAPG00000000176"
"PIERAPT00000000438","IWS1HydininfB","PIERAPG00000000177"
"PIERAPT00000000439","IWS1HydininfB","PIERAPG00000000177"
"PIERAPT00000000440","IWS1HydininfB","PIERAPG00000000177"
"PIERAPT00000000441","Zmynd10","PIERAPG00000000178"
"PIERAPT00000000442","Zmynd10","PIERAPG00000000178"
"PIERAPT00000000443","Zmynd10","PIERAPG00000000178"
"PIERAPT00000000444","Zmynd10","PIERAPG00000000178"
"PIERAPT00000000445","PRKCG","PIERAPG00000000179"
"PIERAPT00000000446","PRKCG","PIERAPG00000000179"
"PIERAPT00000000447","ANK3","PIERAPG00000000180"
"PIERAPT00000000448","ANK3","PIERAPG00000000180"
