ID=PIERAPG00000000192;Name=GBA3
ID=PIERAPG00000000193;Name=Tp63
ID=PIERAPG00000000194;Name=ruvB
ID=PIERAPG00000000195;Name=P67
ID=PIERAPG00000000196;Name=Tox3
ID=PIERAPG00000000197;Name=murC
ID=PIERAPG00000000198;Name=pnp
ID=PIERAPG00000000199;Name=Vps13a
ID=PIERAPG00000000200;Name=rppHrrg9
ID=PIERAPG00000000201;Name=tsp-17
ID=PIERAPG00000000202;Name=php
ID=PIERAPG00000000203;Name=NPL
ID=PIERAPG00000000204;Name=IMMP1L
ID=PIERAPG00000000205;Name=Mcf2l
ID=PIERAPG00000000206;Name=RNF217
ID=PIERAPG00000000207;Name=G104114
ID=PIERAPG00000000208;Name=G100499
ID=PIERAPG00000000209;Name=CYP51
ID=PIERAPG00000000210;Name=thap1
ID=PIERAPG00000000211;Name=coq4
ID=PIERAPG00000000212;Name=ABCG1
ID=PIERAPG00000000213;Name=acbd6
ID=PIERAPG00000000214;Name=UBE2F
ID=PIERAPG00000000215;Name=Hpgd
ID=PIERAPG00000000216;Name=lov
ID=PIERAPG00000000217;Name=Gld
ID=PIERAPG00000000218;Name=tamo
ID=PIERAPG00000000219;Name=G108922
ID=PIERAPG00000000220;Name=DHX36
ID=PIERAPG00000000221;Name=NGFR
ID=PIERAPG00000000222;Name=FAM175A
ID=PIERAPG00000000223;Name=MIMI_L264
ID=PIERAPG00000000224;Name=Syncrip
ID=PIERAPG00000000225;Name=march2
ID=PIERAPG00000000226;Name=P25
ID=PIERAPG00000000227;Name=NPY2R
ID=PIERAPG00000000228;Name=D1044.1
ID=PIERAPG00000000229;Name=METTL5
ID=PIERAPG00000000230;Name=atpI
ID=PIERAPG00000000231;Name=Ak7
ID=PIERAPG00000000232;Name=anapc5
ID=PIERAPG00000000233;Name=csnk1a1
ID=PIERAPG00000000234;Name=CREB3L3
ID=PIERAPG00000000235;Name=Gld_2
ID=PIERAPG00000000236;Name=TTPA
ID=PIERAPG00000000237;Name=EF
ID=PIERAPG00000000238;Name=RDRP
ID=PIERAPG00000000239;Name=FAB1DPATZ1
ID=PIERAPG00000000240;Name=Lrrc34
ID=PIERAPG00000000241;Name=Sh
ID=PIERAPG00000000242;Name=SLC25A27
ID=PIERAPG00000000243;Name=Scsalpha
ID=PIERAPG00000000244;Name=ALL6
ID=PIERAPG00000000245;Name=dna2
ID=PIERAPG00000000246;Name=Kcnip1
ID=PIERAPG00000000247;Name=topA
ID=PIERAPG00000000248;Name=dnk
ID=PIERAPG00000000249;Name=PSMD2
ID=PIERAPG00000000250;Name=TEX261
ID=PIERAPG00000000251;Name=KMT2CRPII
ID=PIERAPG00000000252;Name=ADAMTSL3
ID=PIERAPG00000000253;Name=CG12006
ID=PIERAPG00000000254;Name=CP089
ID=PIERAPG00000000255;Name=GA19813CPIJ001500
ID=PIERAPG00000000256;Name=march5
ID=PIERAPG00000000257;Name=ESD
ID=PIERAPG00000000258;Name=HUB2
ID=PIERAPG00000000259;Name=Mns1
ID=PIERAPG00000000260;Name=AGRN
ID=PIERAPG00000000261;Name=Msh6
ID=PIERAPG00000000262;Name=G112608
ID=PIERAPG00000000263;Name=Tace
ID=PIERAPG00000000264;Name=colt
ID=PIERAPG00000000265;Name=ZNF317dapE
ID=PIERAPG00000000266;Name=NEFMstat3.2
ID=PIERAPG00000000267;Name=tsr1CG7338
ID=PIERAPG00000000268;Name=MYRO1
ID=PIERAPG00000000269;Name=CCAP-R
ID=PIERAPG00000000270;Name=dlst
ID=PIERAPG00000000271;Name=leuCchd8
ID=PIERAPG00000000272;Name=FAM183A
ID=PIERAPG00000000273;Name=NPR1GCY
ID=PIERAPG00000000274;Name=Ttc21b
ID=PIERAPG00000000275;Name=serS
ID=PIERAPG00000000276;Name=APOD
ID=PIERAPG00000000277;Name=ANKFN1
ID=PIERAPG00000000278;Name=Zbtb24
ID=PIERAPG00000000279;Name=otof
ID=PIERAPG00000000280;Name=RIOK3
ID=PIERAPG00000000281;Name=sh3bp5lpcs
ID=PIERAPG00000000282;Name=PNLIPRP2
ID=PIERAPG00000000283;Name=fz
ID=PIERAPG00000000284;Name=fbp
ID=PIERAPG00000000285;Name=PNN
ID=PIERAPG00000000286;Name=BOLA3
ID=PIERAPG00000000287;Name=COX6B1
ID=PIERAPG00000000288;Name=TRYP6
ID=PIERAPG00000000289;Name=C7orf26
ID=PIERAPG00000000290;Name=PRSS53
ID=PIERAPG00000000291;Name=CHORD
ID=PIERAPG00000000292;Name=retm
ID=PIERAPG00000000293;Name=Cyp305a1
ID=PIERAPG00000000294;Name=murI
ID=PIERAPG00000000295;Name=G103709
ID=PIERAPG00000000296;Name=CIRH1A
ID=PIERAPG00000000297;Name=afap1l2
ID=PIERAPG00000000298;Name=CCDC132
ID=PIERAPG00000000299;Name=eno
ID=PIERAPG00000000300;Name=rnf2-a
ID=PIERAPG00000000301;Name=guaC
ID=PIERAPG00000000302;Name=ANKMY1rnhB
ID=PIERAPG00000000303;Name=ssaB
ID=PIERAPG00000000304;Name=Rbm12
ID=PIERAPG00000000305;Name=ZNF609
ID=PIERAPG00000000306;Name=sacA
ID=PIERAPG00000000307;Name=Utp15
ID=PIERAPG00000000308;Name=Spt5
ID=PIERAPG00000000309;Name=B3GNT5
ID=PIERAPG00000000310;Name=P27K
ID=PIERAPG00000000311;Name=TDRD3
ID=PIERAPG00000000312;Name=Elovl4
ID=PIERAPG00000000313;Name=Hexa
ID=PIERAPG00000000314;Name=Hs2st
ID=PIERAPG00000000315;Name=ZAN
ID=PIERAPG00000000316;Name=DONSON
ID=PIERAPG00000000317;Name=Lac
ID=PIERAPG00000000318;Name=alpha-Adaptin
ID=PIERAPG00000000319;Name=PGRP
ID=PIERAPG00000000320;Name=MT-ND4
ID=PIERAPG00000000321;Name=G108848
ID=PIERAPG00000000322;Name=myd88-a
ID=PIERAPG00000000323;Name=POT6
ID=PIERAPG00000000324;Name=PCF3
ID=PIERAPG00000000325;Name=gxylt1
ID=PIERAPG00000000326;Name=ranbp9
ID=PIERAPG00000000327;Name=Chc
ID=PIERAPG00000000328;Name=vipas39
ID=PIERAPG00000000329;Name=DOCK3
ID=PIERAPG00000000330;Name=EHBP1
ID=PIERAPG00000000331;Name=Lip3
ID=PIERAPG00000000332;Name=HECTD4
ID=PIERAPG00000000333;Name=ZNF358Zscan10ZNF581FEZF2
ID=PIERAPG00000000334;Name=PRPF19
ID=PIERAPG00000000335;Name=Taf8
ID=PIERAPG00000000336;Name=Fas3
ID=PIERAPG00000000337;Name=truA
ID=PIERAPG00000000338;Name=igf1r
ID=PIERAPG00000000339;Name=ung
ID=PIERAPG00000000340;Name=hykk
ID=PIERAPG00000000341;Name=COASY
ID=PIERAPG00000000342;Name=Hmx
ID=PIERAPG00000000343;Name=Rnf41
ID=PIERAPG00000000344;Name=TppII
ID=PIERAPG00000000345;Name=atg3
ID=PIERAPG00000000346;Name=Adf1
ID=PIERAPG00000000347;Name=SLC18A2
ID=PIERAPG00000000348;Name=EDEM3
ID=PIERAPG00000000349;Name=CTR2CHYM2
ID=PIERAPG00000000350;Name=dctR
ID=PIERAPG00000000351;Name=ME1
ID=PIERAPG00000000352;Name=gatA
ID=PIERAPG00000000353;Name=rapA
ID=PIERAPG00000000354;Name=TNT
ID=PIERAPG00000000355;Name=TMEM214
ID=PIERAPG00000000356;Name=G103809
ID=PIERAPG00000000357;Name=CYP6L1CYP6K1
ID=PIERAPG00000000358;Name=rbfA
ID=PIERAPG00000000359;Name=ESTJ
ID=PIERAPG00000000360;Name=slc36a4
ID=PIERAPG00000000361;Name=Farp1
ID=PIERAPG00000000362;Name=esf2
ID=PIERAPG00000000363;Name=Arl1
ID=PIERAPG00000000364;Name=Tret1
ID=PIERAPG00000000365;Name=ben
ID=PIERAPG00000000366;Name=TGas113e22.1
ID=PIERAPG00000000367;Name=SP
ID=PIERAPG00000000368;Name=MYRO1_2
ID=PIERAPG00000000369;Name=MCT1A
ID=PIERAPG00000000370;Name=SLC17A6
ID=PIERAPG00000000371;Name=Iqca1p1
ID=PIERAPG00000000372;Name=Tret1_2
ID=PIERAPG00000000373;Name=IYD
ID=PIERAPG00000000374;Name=HOP3
ID=PIERAPG00000000375;Name=Gale
ID=PIERAPG00000000376;Name=CG31559
ID=PIERAPG00000000377;Name=TMEM245
ID=PIERAPG00000000378;Name=STU1
ID=PIERAPG00000000379;Name=ctsR
ID=PIERAPG00000000380;Name=SDF2
ID=PIERAPG00000000381;Name=Btk29A
ID=PIERAPG00000000382;Name=EMC1
ID=PIERAPG00000000383;Name=MFB2
ID=PIERAPG00000000384;Name=sec5
ID=PIERAPG00000000385;Name=G111685
ID=PIERAPG00000000386;Name=tctex1d1-aTCTEX1D1
ID=PIERAPG00000000387;Name=mnmE
ID=PIERAPG00000000388;Name=CCDC174
ID=PIERAPG00000000389;Name=Ifi204
ID=PIERAPG00000000390;Name=proB
ID=PIERAPG00000000391;Name=LUC7L2
ID=PIERAPG00000000392;Name=ZCCHC10
ID=PIERAPG00000000393;Name=dnajb6
ID=PIERAPG00000000394;Name=GST1
ID=PIERAPG00000000395;Name=Znf598
ID=PIERAPG00000000396;Name=At3g58280
ID=PIERAPG00000000397;Name=feoC
ID=PIERAPG00000000398;Name=Arr1
ID=PIERAPG00000000399;Name=Tre1
ID=PIERAPG00000000400;Name=G110181
ID=PIERAPG00000000401;Name=KCNV1
ID=PIERAPG00000000402;Name=Cdh23
ID=PIERAPG00000000403;Name=Osbp
ID=PIERAPG00000000404;Name=cpq
ID=PIERAPG00000000405;Name=thap11
ID=PIERAPG00000000406;Name=PNPO
ID=PIERAPG00000000407;Name=PEG3hemE
ID=PIERAPG00000000408;Name=ADRB1
ID=PIERAPG00000000409;Name=ZFHX2
ID=PIERAPG00000000410;Name=G113348
ID=PIERAPG00000000411;Name=RpL34
ID=PIERAPG00000000412;Name=Agxt
ID=PIERAPG00000000413;Name=atpE
ID=PIERAPG00000000414;Name=ABCA5
ID=PIERAPG00000000415;Name=MYRO1LCTL
ID=PIERAPG00000000416;Name=SJCHGC01960
ID=PIERAPG00000000417;Name=Kansl1l
ID=PIERAPG00000000418;Name=DCST2Stab1
ID=PIERAPG00000000419;Name=CI091
ID=PIERAPG00000000420;Name=Gas2
ID=PIERAPG00000000421;Name=CG3876
ID=PIERAPG00000000422;Name=SORL1
ID=PIERAPG00000000423;Name=KDM1A
ID=PIERAPG00000000424;Name=MBD1
ID=PIERAPG00000000425;Name=Dis3
ID=PIERAPG00000000426;Name=AKR1B1
ID=PIERAPG00000000427;Name=G114941
ID=PIERAPG00000000428;Name=yl
ID=PIERAPG00000000429;Name=Ccp84Ab
ID=PIERAPG00000000430;Name=ubald2
ID=PIERAPG00000000431;Name=G113950
ID=PIERAPG00000000432;Name=G100934
ID=PIERAPG00000000433;Name=ZNF800
ID=PIERAPG00000000434;Name=rps2
ID=PIERAPG00000000435;Name=SLC27A4
ID=PIERAPG00000000436;Name=tbcb
ID=PIERAPG00000000437;Name=RANBP2
ID=PIERAPG00000000438;Name=spt4
ID=PIERAPG00000000439;Name=fezf2
ID=PIERAPG00000000440;Name=Corin
ID=PIERAPG00000000441;Name=CHA6
ID=PIERAPG00000000442;Name=pstS1
ID=PIERAPG00000000443;Name=FASN
ID=PIERAPG00000000444;Name=rgn
ID=PIERAPG00000000445;Name=AKAP13ARHGEF2
ID=PIERAPG00000000446;Name=Scpep1
ID=PIERAPG00000000447;Name=Tgfbr1
ID=PIERAPG00000000448;Name=lepA
ID=PIERAPG00000000449;Name=HI
ID=PIERAPG00000000450;Name=Sin3a
ID=PIERAPG00000000451;Name=WDR43
ID=PIERAPG00000000452;Name=VIRE
ID=PIERAPG00000000453;Name=SVIL
ID=PIERAPG00000000454;Name=G103093
ID=PIERAPG00000000455;Name=PANK4
ID=PIERAPG00000000456;Name=murI_2
ID=PIERAPG00000000457;Name=ZNF425
ID=PIERAPG00000000458;Name=pkiA
ID=PIERAPG00000000459;Name=OBP1
ID=PIERAPG00000000460;Name=TRAK1
ID=PIERAPG00000000461;Name=Cpsf73
ID=PIERAPG00000000462;Name=Ints1
ID=PIERAPG00000000463;Name=MAGT1
ID=PIERAPG00000000464;Name=Kiaa0556
ID=PIERAPG00000000465;Name=G102773
ID=PIERAPG00000000466;Name=CCL4
ID=PIERAPG00000000467;Name=Kiaa0100
ID=PIERAPG00000000468;Name=CG9286
ID=PIERAPG00000000469;Name=NPY2R_2
ID=PIERAPG00000000470;Name=Gyc88E
ID=PIERAPG00000000471;Name=Tret1_3
ID=PIERAPG00000000472;Name=gba-3gba-4
ID=PIERAPG00000000473;Name=G114126
ID=PIERAPG00000000474;Name=RGN
ID=PIERAPG00000000475;Name=G103844
ID=PIERAPG00000000476;Name=recR
ID=PIERAPG00000000477;Name=TTC16
ID=PIERAPG00000000478;Name=pdhb-1
ID=PIERAPG00000000479;Name=Gr64f
ID=PIERAPG00000000480;Name=C05D11.9
ID=PIERAPG00000000481;Name=murC_2
ID=PIERAPG00000000482;Name=Cldn23
ID=PIERAPG00000000483;Name=fadD30Os10g0330600
ID=PIERAPG00000000484;Name=MAMDC4
ID=PIERAPG00000000485;Name=BAZ2B
ID=PIERAPG00000000486;Name=disco
ID=PIERAPG00000000487;Name=nrf-6
ID=PIERAPG00000000488;Name=trr
ID=PIERAPG00000000489;Name=TXN2
ID=PIERAPG00000000490;Name=NATT4
ID=PIERAPG00000000491;Name=SH1215
ID=PIERAPG00000000492;Name=snk
ID=PIERAPG00000000493;Name=CATL
ID=PIERAPG00000000494;Name=ileS
ID=PIERAPG00000000495;Name=Tssk2Tssk4
ID=PIERAPG00000000496;Name=Dock7
ID=PIERAPG00000000497;Name=sat
ID=PIERAPG00000000498;Name=FAM195A
ID=PIERAPG00000000499;Name=atpA
ID=PIERAPG00000000500;Name=G107929
ID=PIERAPG00000000501;Name=pkbA
ID=PIERAPG00000000502;Name=Spag4
ID=PIERAPG00000000503;Name=TBX1
ID=PIERAPG00000000504;Name=PyK
ID=PIERAPG00000000505;Name=slc25a35
ID=PIERAPG00000000506;Name=PebIII_2
ID=PIERAPG00000000507;Name=Sh2b2
ID=PIERAPG00000000508;Name=Gp1ba
ID=PIERAPG00000000509;Name=Hibadh
ID=PIERAPG00000000510;Name=to
ID=PIERAPG00000000511;Name=hslU
ID=PIERAPG00000000512;Name=Sb
ID=PIERAPG00000000513;Name=Ras85D
ID=PIERAPG00000000514;Name=MAN2C1
ID=PIERAPG00000000515;Name=ORF2
ID=PIERAPG00000000516;Name=KDELC1
ID=PIERAPG00000000517;Name=alg44speH
ID=PIERAPG00000000518;Name=Edg84A_2
ID=PIERAPG00000000519;Name=Ttc21b_2
ID=PIERAPG00000000520;Name=Ddx1_2
ID=PIERAPG00000000521;Name=truB
ID=PIERAPG00000000522;Name=Coq3
ID=PIERAPG00000000523;Name=TRYP1AAEL013712
ID=PIERAPG00000000524;Name=psmB5
ID=PIERAPG00000000525;Name=Lar
ID=PIERAPG00000000526;Name=litaf
ID=PIERAPG00000000527;Name=fbxl15
ID=PIERAPG00000000528;Name=menD
ID=PIERAPG00000000529;Name=MED4
ID=PIERAPG00000000530;Name=Sptan1
ID=PIERAPG00000000531;Name=ADARB2
ID=PIERAPG00000000532;Name=G103441
ID=PIERAPG00000000533;Name=DysZAN
ID=PIERAPG00000000534;Name=CU03
ID=PIERAPG00000000535;Name=Vinc
